Publicación;shortcode;timestamp;likes;comments_count;Polaridad;Subjetividad
P75;Ch30z8RJPyB;30/08/2022 5:41;4149;14;0,639427083;0,846666667
P41;CfpWmwoJaj9;5/07/2022 21:45;5574;47;0,567329545;0,630952381
P46;Cf9yqY5pG3P;13/07/2022 20:15;11261;61;0,50299697;0,68110101
P13;CcqGRhEukx9;22/04/2022 15:07;2031;11;0,46334596;0,866111111
P80;CicyvKDAcWK;13/09/2022 14:22;2365;23;0,37037037;0,51875
P31;Ceykzc_O8yY;14/06/2022 15:11;5624;42;0,330092593;0,598148148
P34;Ce9JJFpOulB;18/06/2022 17:40;2852;28;0,326623377;0,576839827
P19;CdRJh0YjYUx;7/05/2022 19:06;2482;11;0,32015873;0,555714286
P77;Ch7PfIZu8jm;31/08/2022 13:31;4079;211;0,317806622;0,489166066
P86;CjA1Tx_O1oy;27/09/2022 14:10;3514;30;0,280884876;0,612342668
P37;CfeqP0Luh44;1/07/2022 18:05;1525;11;0,266180556;0,485208333
P83;CigbK6tJDyh;15/09/2022 0:05;77114;1484;0,256761733;0,618443309
P99;Cj3ryF6pT6a;18/10/2022 21:25;5278;62;0,244580527;0,656358025
P42;CfrJc6yOf61;6/07/2022 14:28;4286;75;0,232104721;0,633868935
P116;Ck9IGqsJVR9;14/11/2022 20:40;2445;18;0,23125;0,480654762
P84;CixWCZNOgWj;21/09/2022 13:48;4017;73;0,226360237;0,589642094
P70;ChsfgBxJMRZ;25/08/2022 20:03;4049;33;0,224583333;0,532916667
P69;ChocEV2prk8;24/08/2022 6:16;12850;61;0,21764469;0,696398441
P109;Ckdm6UZA8o3;2/11/2022 14:54;3539;34;0,216111111;0,566180556
P25;Cd-59cZsdCI;25/05/2022 13:35;6309;71;0,215447901;0,593160962
P97;CjysRufJ9rL;16/10/2022 22:53;7297;44;0,215308642;0,553055556
P26;CeBhs0UsuYM;26/05/2022 14:01;2058;24;0,210904582;0,6406249
P10;CcdWDUYNsrh;17/04/2022 16:15;1923;12;0,197916667;0,5125
P89;CjNxH3DOn6t;2/10/2022 14:43;18933;153;0,193932242;0,602014094
P88;CjLg2slOqyE;1/10/2022 17:43;520;16;0,188181818;0,496969697
P118;ClBnBSVurN_;16/11/2022 14:27;2353;21;0,184936523;0,59224537
P27;CeLymc2Obul;30/05/2022 13:41;6328;92;0,179629279;0,560881033
P21;CdtvFx4JQW7;18/05/2022 21:33;2569;18;0,176463805;0,582820707
P15;CcsyPMBNAdL;23/04/2022 16:10;3494;20;0,175075532;0,52436305
P59;ChVBZycuWV8;16/08/2022 17:17;4183;50;0,169859641;0,467405203
P101;Cj5Xt8uuM8U;19/10/2022 13:08;3194;75;0,169280372;0,49458062
P23;Cdv-GVUuXzG;19/05/2022 18:23;5228;90;0,158961353;0,535862664
P8;CcVkBd6OxMg;14/04/2022 15:43;2859;54;0,156393939;0,599767677
P113;CkrUxZgJpS8;7/11/2022 22:44;5281;75;0,152657206;0,569067436
P65;ChdDpfiJ_Lu;19/08/2022 20:12;11975;109;0,152102611;0,673109873
P62;ChX89QupwcC;17/08/2022 20:37;4974;69;0,148997114;0,632106782
P60;ChVj-n2JXhs;16/08/2022 22:19;11675;79;0,148907944;0,581827784
P81;Cic6UeqOVmQ;13/09/2022 15:21;1910;49;0,145239234;0,626517857
P56;Cg7dRbFvJbF;6/08/2022 19:01;3597;39;0,135713294;0,429465608
P117;Ck__09NJHsw;15/11/2022 23:25;22222;828;0,131313781;0,497896237
P98;Cj3VPkFpAxU;18/10/2022 18:08;1225;38;0,125925926;0,485185185
P71;ChtKkSiAwsZ;26/08/2022 2:20;5024;110;0,125874723;0,590085764
P108;Ckb6HQDJe5U;1/11/2022 23:02;6842;22;0,11811034;0,4793767
P16;Cc6L-bzu0AQ;28/04/2022 21:05;4052;84;0,117926287;0,48980279
P48;CgKVVYwFwL5;18/07/2022 17:09;2783;31;0,116166667;0,551373932
P40;CfotI-Lr1fo;5/07/2022 15:42;4996;61;0,115913947;0,629666861
P17;Cc-lAL6MKKM;30/04/2022 14:01;5629;95;0,114172585;0,554663356
P47;CgJ-BkDOvf-;18/07/2022 13:45;2623;48;0,109911616;0,435227273
P35;CfZwHNNOMDo;29/06/2022 20:20;4614;42;0,109196429;0,542514881
P22;CdvZSj0u_zt;19/05/2022 13:01;5915;57;0,108820827;0,491188913
P107;CkV7sCYuGE8;30/10/2022 15:21;3794;48;0,107464348;0,518775946
P5;CcBh_-QgEjr;6/04/2022 21:01;3137;36;0,103089286;0,616940476
P33;Ce3kSEjFfA6;16/06/2022 13:42;3888;39;0,095833333;0,534166667
P49;CgP9oKKJDZ-;20/07/2022 21:38;19521;1812;0,08849756;0,506702859
P52;CgiMMq2J7Gh;27/07/2022 23:30;15725;498;0,088235883;0,560067214
P38;CfheAhppLfW;2/07/2022 20:15;15635;228;0,086184358;0,572132789
P29;CecMMSpJV3j;5/06/2022 22:32;5953;116;0,074727254;0,523850068
P94;Cjnd-AGuvig;12/10/2022 14:16;4211;49;0,072463349;0,478840353
P68;Chmrr1PudoJ;23/08/2022 13:54;18388;135;0,071914591;0,72233718
P91;Cjfqfj4uXXC;9/10/2022 13:32;3577;52;0,068097527;0,625172975
P85;Ci-zNfdpV16;26/09/2022 19:13;10492;138;0,065436631;0,587045442
P74;Ch3Hi1mplqn;29/08/2022 23:05;6807;93;0,06540095;0,528696549
P92;CjkucilOJam;11/10/2022 12:42;2220;24;0,064444444;0,562222222
P78;CiMAU9WuVR2;7/09/2022 1:46;12568;219;0,064344869;0,617262383
P9;CcbQW7SJbdA;16/04/2022 20:46;7272;43;0,062962963;0,661516204
P115;Ck8-u7ZJiuZ;14/11/2022 19:19;2137;27;0,056998698;0,33609375
P111;Ckeo469pM2t;3/11/2022 0:30;4601;28;0,056910714;0,580882937
P64;ChcyH7lO09l;19/08/2022 17:38;3219;47;0,056624711;0,355885706
P4;Cb71Qf6tH-c;4/04/2022 15:53;4622;66;0,055667017;0,472554272
P51;CgXce1nJIiK;23/07/2022 19:22;12083;146;0,054571797;0,579563135
P73;Ch2PsNVOOPX;29/08/2022 14:57;5505;50;0,052615911;0,546111692
P57;ChH99tRDz29;11/08/2022 15:37;11622;143;0,05126451;0,568151627
P44;Cf6iOZsOO6q;12/07/2022 13:53;5268;71;0,046634876;0,518348891
P105;CkRB9L-pnpi;28/10/2022 17:39;1452;19;0,043865741;0,474791667
P18;CdJ82V1uAiR;5/05/2022 0:01;8947;384;0,043468344;0,563447794
P55;Cg4_UwvPlDH;5/08/2022 20:01;4153;28;0,043204365;0,670982143
P90;CjbVmD9JqOD;7/10/2022 21:12;5927;79;0,041218586;0,536646062
P102;Cj9QQO5OhiC;21/10/2022 1:19;3842;231;0,039047438;0,518260675
P95;CjqdK71pMOJ;13/10/2022 18:07;13022;263;0,037341262;0,636194752
P79;CiP4kfOulaC;8/09/2022 13:55;5842;93;0,033575804;0,522070581
P53;CgzYedruN89;3/08/2022 15:45;13039;196;0,033206297;0,57264881
P66;Chft3FqJgUJ;20/08/2022 20:58;12753;120;0,028941508;0,483064884
P30;CelqO1SOLhb;9/06/2022 14:48;7310;130;0,027748717;0,588083992
P112;CkmCpz0J4Z7;5/11/2022 21:29;3722;54;0,026024374;0,497190147
P110;Ckdos4wuhjc;2/11/2022 15:09;4623;39;0,017229437;0,552911255
P106;CkV5ZuRurIq;30/10/2022 15:01;7461;63;0,015784832;0,644527116
P14;CcqsjrdJ5t7;22/04/2022 20:41;4018;51;0,014332392;0,521015975
P96;Cjv4o73r-Is;15/10/2022 20:43;10298;67;0,012590188;0,622726881
P63;ChaOT1_uQpL;18/08/2022 17:46;10775;257;0,008903156;0,543075663
P61;ChVu_Wipubp;16/08/2022 23:57;12537;251;0,006366984;0,49726203
P6;CcDnZWPORmt;7/04/2022 16:26;2010;102;0,002561983;0,487403581
P20;CdRMQnBlm8s;7/05/2022 19:30;5477;93;0,002177373;0,5015625
P54;Cg2cKGZPnf7;4/08/2022 20:15;1685;11;0;0
P93;CjlHP0hu_O3;11/10/2022 16:19;73873;2708;-0,008257173;0,607600846
P28;CeReHMfJX9C;1/06/2022 18:37;9547;196;-0,011360831;0,538883377
P114;Ck7NqM2OATn;14/11/2022 2:50;4525;66;-0,014309764;0,576641414
P72;ChzlRKaOVTd;28/08/2022 14:08;6703;92;-0,017040056;0,572078461
P12;CciFAS8u6wv;19/04/2022 12:22;4690;40;-0,019704934;0,648029374
P45;Cf7DZ7XASvK;12/07/2022 18:45;4024;46;-0,022013774;0,660606061
P87;CjEPSwLpO0G;28/09/2022 21:59;5571;111;-0,02342919;0,610081083
P43;CfweFUdsDy-;8/07/2022 16:05;5354;72;-0,025198864;0,69823548
P58;ChNnFM_pms5;13/08/2022 20:13;6087;63;-0,037750378;0,635301398
P32;Ce2XWIWseZj;16/06/2022 2:33;6279;97;-0,038853002;0,584833579
P82;CifSZD2uMWt;14/09/2022 13:30;1477;32;-0,043458018;0,539661872
P67;ChlP1BoJ50S;23/08/2022 0:31;7876;195;-0,063307626;0,562300897
P7;CcQYUhuOPKr;12/04/2022 15:25;2555;66;-0,063854167;0,60462963
P50;CgSNMLfpAzE;21/07/2022 18:31;14580;225;-0,066094548;0,573200068
P76;Ch7I0cqOnmv;31/08/2022 12:33;11669;163;-0,072266071;0,65980045
P104;CkOD74xOS2z;27/10/2022 13:59;3150;25;-0,07953343;0,641243386
P11;CcgoozmOf8T;18/04/2022 22:55;1790;13;-0,094756944;0,628020833
P2;CblJvZ4u546;26/03/2022 20:30;4017;39;-0,100031566;0,488888889
P3;CbvWFyGAIg0;30/03/2022 19:33;4240;61;-0,116459147;0,737416886
P24;Cd8t-JSOUi6;24/05/2022 17:12;4985;89;-0,11652864;0,49271049
P39;Cfj3RsEPU6I;3/07/2022 18:35;2742;20;-0,121388889;0,6775
P36;CfbwfdIMrCN;30/06/2022 15:02;5750;285;-0,123041112;0,644917008
P103;CkOAFGZOPK8;27/10/2022 13:25;4150;59;-0,134360529;0,541461558
P1;CbijPVpDCJA;25/03/2022 20:18;3311;43;-0,135972222;0,738333333
P100;Cj4On4HO5Qm;19/10/2022 2:29;2994;17;-0,380208333;0,45
